user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user5,workstation8,workstation8,(v35.0),(licserver/7788,6872),start,Tue,4/14,8:21
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
user6,workstation9,workstation9,(v35.0),(licserver/7788,6870),start,Tue,4/14,4:22
